input,target
"Simplify the phrase ""as in"" in the sentence: So the same question arises as in relation to Parliamentary sovereignty: what is the legal limit upon the power to prorogue which makes it compatible with the ability of Parliament to carry out its constitutional functions?",meaning
"Simplify the phrase ""in the case of"" in the sentence: However, a prerogative power is only effective to the extent that it is recognised by the common law: as was said in the Case of Proclamations , the King hath no prerogative, but that which the law of the land allows him.",in
"Simplify the phrase ""for the purposes of"" in the sentence: For the purposes of the present case, therefore, the relevant limit upon the power to prorogue can be expressed in this way: that a decision to prorogue Parliament or to advise the monarch to prorogue Parliament will be unlawful if the prorogation has the effect of frustrating or preventing, without reasonable justification, the ability of Parliament to carry out its constitutional functions as a legislature and as the body responsible for the supervision of the executive.",for
"Simplify the phrase ""as to"" in the sentence: The court then has to decide whether the Prime Ministers explanation for advising that Parliament should be prorogued is a reasonable justification for a prorogation having those effects.",about
"Simplify the phrase ""as to"" in the sentence: In those circumstances, it is alleged, his purpose in seeking a prorogation of such length at that juncture was to prevent Parliament from exercising its legislative functions, so far as was possible, until the negotiations had been completed.",about
"Simplify the phrase ""in relation to"" in the sentence: That ground of challenge raises some different questions, in relation to justiciability, from the ground based on the effects of prorogation on Parliaments ability to legislate and to scrutinise governmental action.",about
"Simplify the phrase ""out of"" in the sentence: It prevented Parliament from carrying out its constitutional role for five out of a possible eight weeks between the end of the summer recess and exit day on the 31st October.",from
"Simplify the phrase ""as to"" in the sentence: But that was totally to ignore whatever else Parliament might have wanted to do during the four weeks it might normally have had before a prorogation.",about
"Simplify the phrase ""as to"" in the sentence: The Prime Ministers reaction was to describe the September sitting as a rigmarole.",about
"Simplify the phrase ""out of"" in the sentence: Article 9 provides: That the Freedome of Speech and Debates or Proceedings in Parlyament ought not to be impeached or questioned in any Court or Place out of Parlyament.",from
"Simplify the phrase ""in the case of"" in the sentence: Thus the Advocate Generals appeal in the case of Cherry is dismissed and Mrs Millers appeal is allowed.",in
"Simplify the phrase ""on grounds of"" in the sentence: The substantive question in this case is whether it is unlawful discrimination, either on grounds of sexual orientation, or on grounds of religious belief or political opinion, for a bakery to refuse to supply a cake iced with the message support gay marriage because of the sincere religious belief of its owners that gay marriage is inconsistent with Biblical teaching and therefore unacceptable to God.",because of
"Simplify the phrase ""as to"" in the sentence: If the prima facie answer to either question is yes, then questions arise as to the rights of the bakery and its owners to freedom of religion and freedom of expression, under articles 9 and 10 of the European Convention on Human Rights, and what difference, if any, those rights might make to that prima facie answer.",about
"Simplify the phrase ""on grounds of"" in the sentence: At first instance in the county court, the district judge held that there was direct discrimination, both on grounds of sexual orientation and on grounds of religious belief or political opinion, and that it was not necessary to read down the relevant legislation to make it compatible with the bakery owners rights under articles 9 and 10 of the Convention.",because of
"Simplify the phrase ""by way of"" in the sentence: The bakery and its owners appealed by way of case stated, raising seven questions, to the Northern Ireland Court of Appeal.",for
"Simplify the phrase ""on grounds of"" in the sentence: The Court of Appeal only found it necessary to answer two questions, holding that there was direct discrimination on grounds of sexual orientation and that it was not necessary to read down the legislation to take account of the bakery owners beliefs.",because of
"Simplify the phrase ""on the ground of"" in the sentence: In Northern Ireland, discrimination in the provision of goods, facilities or services on the ground of religious belief or political opinion is prohibited by the Fair Employment and Treatment Northern Ireland Order 1998 SI 19983162 NI 21 FETO, made by Her Majesty in Council under the Northern Ireland Act 1974.",because of
"Simplify the phrase ""on grounds of"" in the sentence: Discrimination in the provision of goods, facilities or services on grounds of sexual orientation is prohibited by the Equality Act Sexual Orientation Regulations Northern Ireland 2006 SI 2006439 SOR, made by the Office of the First Minister and deputy First Minister of Northern Ireland under the Equality Act 2006, an Act of the United Kingdom Parliament.",because of
"Simplify the phrase ""by way of"" in the sentence: However, this court can only answer the substantive questions if it has jurisdiction to entertain them, either by way of an appeal from the Northern Ireland Court of Appeal or by way of a reference made by the Attorney General for Northern Ireland.",for
"Simplify the phrase ""in relation to"" in the sentence: Issues arise in relation to both.",about
"Simplify the phrase ""as to"" in the sentence: Put shortly, article 617 of the Order provides that the decision of the Court of Appeal on an appeal by way of case stated shall be final and section 426 of the 1978 Act precludes an appeal to this court in such cases; but section 426 contains an exception for cases which involve any question as to the validity of a provision made by or under an Act of the Northern Ireland Parliament or Assembly.",about
"Simplify the phrase ""by way of"" in the sentence: Put shortly, article 617 of the Order provides that the decision of the Court of Appeal on an appeal by way of case stated shall be final and section 426 of the 1978 Act precludes an appeal to this court in such cases; but section 426 contains an exception for cases which involve any question as to the validity of a provision made by or under an Act of the Northern Ireland Parliament or Assembly.",for
"Simplify the phrase ""as to"" in the sentence: No problem arises as to the validity of the references under paragraph 34, but the answers given by this court would have no effect upon the outcome of the proceedings in Northern Ireland.",about
"Simplify the phrase ""as to"" in the sentence: The matter may be different, however, if the Court of Appeal should have made the reference but failed to do so, because this raises questions as to validity of that courts decision in the case.",about
"Simplify the phrase ""on grounds of"" in the sentence: Part II discusses the claim for discrimination on grounds of sexual orientation under the SORs.",because of
"Simplify the phrase ""on grounds of"" in the sentence: Part III discusses the claim for discrimination on grounds of political opinion under FETO.",because of
"Simplify the phrase ""in accordance with"" in the sentence: They have sought to run Ashers in accordance with their beliefs, but this, and the biblical connection of the name, has not been advertised or otherwise made known to the public.",according to
"Simplify the phrase ""as in"" in the sentence: Mr Lee was invited to attend a private event organised by QueerSpace at Bangor Castle on Friday 17 May 2014 to mark the end of Northern Ireland antihomophobia week and the political momentum towards samesex marriage.",meaning
"Simplify the phrase ""as a matter of"" in the sentence: The district judge found that, when they refused to carry out the order, the defendants did perceive that Mr Lee was gay andor associated with others who were gay; but one of the questions raised in the case stated was whether she was correct as a matter of law to make that finding.",about
"Simplify the phrase ""on grounds of"" in the sentence: The ECNI have supported him in bringing this claim for direct and indirect discrimination on grounds of sexual orientation, religious belief or political opinion.",because of
"Simplify the phrase ""as a result of"" in the sentence: The Court of Appeal expressed some concern that the correspondence between the ECNI and the bakery may have created the impression that the ECNI was not interested in assisting members of the faith community when they found themselves in difficulties as a result of their deeply held religious beliefs para 106.",because
"Simplify the phrase ""by way of"" in the sentence: The defendants appealed by way of case stated to the Court of Appeal.",for
"Simplify the phrase ""on grounds of"" in the sentence: It held that this was a case of associative direct discrimination on grounds of sexual orientation paras 57 and 58 and that it was not necessary to read down the SORs to take account of the McArthurs Convention rights para 72.",because of
"Simplify the phrase ""on grounds of"" in the sentence: Regulation 31 defines direct discrimination thus: a person A discriminates against another person B if a on grounds of sexual orientation, A treats B less favourably than he treats or would treat other persons; .",because of
"Simplify the phrase ""as in"" in the sentence: The District Judge held that, if she had not reached a finding of direct discrimination, but found that there was indirect discrimination, she would have concluded that there was no justification for it para 46.",meaning
"Simplify the phrase ""as in"" in the sentence: She did not however find that there was indirect discrimination, and it is not easy to see how she could have done so.",meaning
"Simplify the phrase ""as to"" in the sentence: The objection was to the message, not the messenger.",about
"Simplify the phrase ""on grounds of"" in the sentence: Not surprisingly, therefore, Mr Scoffield QC, who appears for the appellants, argues that it was not open to the judge to find that there was direct discrimination on grounds of sexual orientation.",because of
"Simplify the phrase ""as in"" in the sentence: The District Judge also considered at length the question of whether the criterion used by the bakery was indissociable from the protected characteristic and held that support for same sex marriage was indissociable from sexual orientation para 42.",meaning
"Simplify the phrase ""on grounds of"" in the sentence: The Court of Appeal held, by a majority, that this was harassment on grounds of sexual orientation.",because of
"Simplify the phrase ""on grounds of"" in the sentence: There was, however, a powerful dissenting judgment from Laws LJ, who said this at para 21: In my judgment, harassment is perpetrated on grounds of sexual orientation only where some person or persons actual, perceived, or assumed sexual orientation gives rise to it, that is, is a substantial cause of it.",because of
"Simplify the phrase ""on grounds of"" in the sentence: That is very far from saying that, because the reason for the less favourable treatment has something to do with the sexual orientation of some people, the less favourable treatment is on grounds of sexual orientation.",because of
"Simplify the phrase ""as to"" in the sentence: It could also accrue to the benefit of the children, the parents, the families and friends of gay people who wished to show their commitment to one another in marriage, as well as to the wider community who recognise the social benefits which such commitment can bring.",about
"Simplify the phrase ""in the context of"" in the sentence: It would be unwise in the context of this particular case to attempt to define the closeness of the association which justifies such a finding.",when
"Simplify the phrase ""as to"" in the sentence: In a nutshell, the objection was to the message and not to any particular person or persons.",about
"Simplify the phrase ""on grounds of"" in the sentence: In reaching the conclusion that there was no discrimination on grounds of sexual orientation in this case, I do not seek to minimise or disparage the very real problem of discrimination against gay people.",because of
"Simplify the phrase ""on grounds of"" in the sentence: Protection against direct discrimination on grounds of religious belief or political opinion has constitutional status in Northern Ireland.",because of
"Simplify the phrase ""as to"" in the sentence: This was to protect the Protestant minority in the South and the Roman Catholic minority in the North.",about
"Simplify the phrase ""on the ground of"" in the sentence: The Northern Ireland Constitution Act 1973 provided that certain types of legislation applicable in Northern Ireland should be void, to the extent that it discriminated against any person or class of persons on the ground of religious belief or political opinion section 171.",because of
"Simplify the phrase ""as in"" in the sentence: This was principally designed for the legislation of the Northern Ireland Assembly, established under the Northern Ireland Assembly Act 1973, but also applied retrospectively to Acts of the Northern Ireland Parliament and prospectively to the power to legislate for Northern Ireland by Order in Council under the Northern Ireland Act 1974, while direct rule was in force paragraph 11b of Schedule 1 to the 1974 Act.",meaning
"Simplify the phrase ""on the ground of"" in the sentence: The 1998 Act also prohibits the Northern Ireland Assembly, established under that Act, and a Minister or Northern Ireland department, from making any legislation or doing any act which discriminates on the ground of religious belief or political opinion sections 62e and 241c.",because of
"Simplify the phrase ""on the ground of"" in the sentence: Article 31, so far as relevant, defines direct discrimination: a discrimination on the ground of religious belief or political opinion.",because of
"Simplify the phrase ""as in"" in the sentence: Article 32 and 32A as inserted by regulation 4 of the Fair Employment and Treatment Order Amendment Regulations Northern Ireland 2003 SR 2003520 define indirect discrimination on the ground of religious belief or political opinion, but as with the sexual orientation claim, it is not now argued that this is a case of indirect discrimination.",meaning
"Simplify the phrase ""on the ground of"" in the sentence: Article 32 and 32A as inserted by regulation 4 of the Fair Employment and Treatment Order Amendment Regulations Northern Ireland 2003 SR 2003520 define indirect discrimination on the ground of religious belief or political opinion, but as with the sexual orientation claim, it is not now argued that this is a case of indirect discrimination.",because of
"Simplify the phrase ""as in"" in the sentence: If it did, is FETO invalid, or should it be read down under section 31 of the Human Rights Act 1998, as incompatible with the rights of freedom of religion and freedom of expression protected by articles 9 and 10 of the European Convention? iii",meaning
"Simplify the phrase ""on behalf of"" in the sentence: Among the arguments presented to her on behalf of Mr Lee was that it was immaterial whether the bakery knew of Mr Lees religious belief or political opinion, because under the 1998 Order, discrimination can take place on the grounds of the discriminators religious belief and political opinion para 477.",for
"Simplify the phrase ""as to"" in the sentence: This was reflected, for example, in section 451 of the Equality Act 2006 which made it clear that the discrimination has to be on the ground of the religion or belief of someone other than the alleged discriminator.",about
"Simplify the phrase ""on the ground of"" in the sentence: This was reflected, for example, in section 451 of the Equality Act 2006 which made it clear that the discrimination has to be on the ground of the religion or belief of someone other than the alleged discriminator.",because of
"Simplify the phrase ""on the ground of"" in the sentence: It was only if she had been persuaded by the submission that the defendants were not aware of Mr Lees religious belief andor political opinion or the religious belief and political opinions of those with whom he associated, that she would have found that there had been discrimination on the ground of the McArthurs own beliefs para 67.",because of
"Simplify the phrase ""as to"" in the sentence: The objection was to being required to promote the message on the cake.",about
"Simplify the phrase ""for the purpose of"" in the sentence: However, there is here a much closer association between the political opinions of the man and the message that he wishes to promote, such that it could be argued that they are indissociable for the purpose of direct discrimination on the ground of political opinion.",for
"Simplify the phrase ""on the ground of"" in the sentence: However, there is here a much closer association between the political opinions of the man and the message that he wishes to promote, such that it could be argued that they are indissociable for the purpose of direct discrimination on the ground of political opinion.",because of
"Simplify the phrase ""in relation to"" in the sentence: The respondent suggests that the jurisprudence in relation to compelled speech has been developed principally in the United States as a result of the First Amendment.",about
"Simplify the phrase ""as a result of"" in the sentence: The respondent suggests that the jurisprudence in relation to compelled speech has been developed principally in the United States as a result of the First Amendment.",because
"Simplify the phrase ""in the context of"" in the sentence: But in the light of Laramore and RT Zimbabwe , and the Strasbourg case law on which they are based, it cannot seriously be suggested that the same principles do not apply in the context of articles 9 and 10 of the Convention.",when
"Simplify the phrase ""in the light of"" in the sentence: But in the light of Laramore and RT Zimbabwe , and the Strasbourg case law on which they are based, it cannot seriously be suggested that the same principles do not apply in the context of articles 9 and 10 of the Convention.",considering
"Simplify the phrase ""as to"" in the sentence: As to the first, the bakery was required, on pain of liability in damages, to supply a product which actively promoted the cause, a cause in which many believe, but a cause in which the owners most definitely and sincerely did not.",about
"Simplify the phrase ""as to"" in the sentence: As to the second, there is no requirement that the person who is compelled to speak can only complain if he is thought by others to support the message.",about
"Simplify the phrase ""in accordance with"" in the sentence: Articles 9 and 10 are, of course, qualified rights which may be limited or restricted in accordance with the law and insofar as this is necessary in a democratic society in pursuit of a legitimate aim.",according to
"Simplify the phrase ""as to"" in the sentence: But in my view, FETO should not be read or given effect in such a way as to compel providers of goods, facilities and services to express a message with which they disagree, unless justification is shown for doing so.",about
"Simplify the phrase ""on the part of"" in the sentence: The majority Justice Kennedy, with whom Chief Justice Roberts, and Justices Breyer, Alito, Kagan and Gorsuch joined held that the delicate question of when the free exercise of his religion must yield to an otherwise valid exercise of state power needed to be determined in an adjudication in which religious hostility on the part of the state itself would not be a factor in the balance the state sought to reach.",for
"Simplify the phrase ""as to"" in the sentence: In their view the objection in this case was to the customer and therefore a violation.",about
"Simplify the phrase ""on grounds of"" in the sentence: So there was no discrimination on grounds of sexual orientation.",because of
"Simplify the phrase ""on grounds of"" in the sentence: If and to the extent that there was discrimination on grounds of political opinion, no justification has been shown for the compelled speech which would be entailed for imposing civil liability for refusing to fulfil the order.",because of
"Simplify the phrase ""on behalf of"" in the sentence: On behalf of the respondent, Mr Lee, and the notice party, the Commission, Mr Allen submits that no appeal lies against the decision of the Northern Ireland Court of Appeal.",for
"Simplify the phrase ""as to"" in the sentence: Although not referred to expressly in article 611, it is common ground that a further exception to finality exists under section 426 of the Judicature Northern Ireland Act 1978, which reads: No appeal from an order or judgment of the Court of Appeal shall, unless it involves a decision of any question as to the validity of any provision made by or under an Act of the Parliament of Northern Ireland or a Measure of the Northern Ireland Assembly, lie under this section in a case where by any statutory provision, including a provision of this Act, it is expressly provided whatever form of words is used that that order or judgment is to be final.",about
"Simplify the phrase ""in accordance with"" in the sentence: The Assembly, which it was intended would be set up in accordance with the Northern Ireland Assembly Act 1973, was at the time prorogued pending dissolution.",according to
"Simplify the phrase ""as in"" in the sentence: The Assembly, which it was intended would be set up in accordance with the Northern Ireland Assembly Act 1973, was at the time prorogued pending dissolution.",meaning
"Simplify the phrase ""as to"" in the sentence: In these circumstances, it is necessary to consider first whether the proposed appeal involves a decision of any question as to the validity of any provision of FETO.",about
"Simplify the phrase ""on behalf of"" in the sentence: Mr Allen, on behalf of Mr Lee and the Commission, relies on FETO as valid.",for
"Simplify the phrase ""on the ground of"" in the sentence: Section 24 reads: 1 A Minister or Northern Ireland department has no power to make, confirm or approve any subordinate legislation, or to do any act, so far as the legislation or act a is incompatible with any of the Convention rights; b c discriminates against a person or class of person on the ground of religious belief or political opinion; 68.",because of
"Simplify the phrase ""as to"" in the sentence: Mr Allen submits that this fallback submission does not mean that the appeal involves a decision of any question as to the validity of any provision of FETO within section 426 of the Judicature Northern Ireland Act 1978.",about
"Simplify the phrase ""on the ground of"" in the sentence: That section reads: 1 Any Measure, any Act of the Parliament of Northern Ireland and any relevant subordinate instrument shall, to the extent that it discriminates against any person or class of persons on the ground of religious belief or political opinion, be void.",because of
"Simplify the phrase ""as in"" in the sentence: But the appellants, by their written case as interveners in the reference, have again endorsed the Attorney Generals submission regarding section 17.",meaning
"Simplify the phrase ""in respect of"" in the sentence: Once again, even though invalidity could only arise upon all other submissions failing, that in my opinion is sufficient to enable an appeal in respect of FETO.",about
"Simplify the phrase ""in respect of"" in the sentence: Having established a right of appeal in respect of FETO, the appellants submit that their proposed appeal in respect of SORs can also be maintained.",about
"Simplify the phrase ""on grounds of"" in the sentence: The issue under FETO is discrimination on grounds of religious belief or political opinion, while the issue under SORs is one discrimination on grounds of sexual orientation.",because of
"Simplify the phrase ""in respect of"" in the sentence: The appellants therefore submit that, once an appeal is admissible in respect of one claim, then any other claim determined in the same proceedings may be appealed either generally or at least where there is an overlap of the relevant factual circumstances such as here exists.",about
"Simplify the phrase ""for the purposes of"" in the sentence: In the further alternative, the appellants now invoke before the Supreme Court section 405 of the Constitutional Reform Act 2005, which provides that: The Supreme Court has power to determine any question necessary to be determined for the purposes of doing justice in an appeal to it under any enactment.",for
"Simplify the phrase ""in the light of"" in the sentence: As will appear, it is unnecessary to consider the appellants case on these points further, in the light of my conclusions with regard to the Attorney Generals References, to which I next therefore turn.",considering
"Simplify the phrase ""as to"" in the sentence: Before this occurred, the Attorney General lodged on 28 October 2016 a notice dated 27 October 2016, purporting to require the Court of Appeal under paragraph 33 of Schedule 10 to the 1998 Act to refer to the Supreme Court issues as to whether, in the light of section 241a, c and d of the Northern Ireland Act 1998, there was power to make regulation 5 of SORs and whether, in the light of section 17 of the Northern Ireland Constitution Act 1973, article 28 of FETO was void.",about
"Simplify the phrase ""in the light of"" in the sentence: Before this occurred, the Attorney General lodged on 28 October 2016 a notice dated 27 October 2016, purporting to require the Court of Appeal under paragraph 33 of Schedule 10 to the 1998 Act to refer to the Supreme Court issues as to whether, in the light of section 241a, c and d of the Northern Ireland Act 1998, there was power to make regulation 5 of SORs and whether, in the light of section 17 of the Northern Ireland Constitution Act 1973, article 28 of FETO was void.",considering
"Simplify the phrase ""in respect of"" in the sentence: Its reasons were given in a separate judgment, dated as delivered on 22 December 2016, by which the Court, firstly, refused the appellants permission to appeal in respect of the issues under FETO, held that there was no jurisdiction to permit any appeal in respect of the issues under SORs and, secondly, concluded that the Attorney Generals request for a reference under paragraph 33 came too late, because the proceedings ended with the giving of judgment and have not been reopened para 10 and that, at the date at which he purported to require a reference, there were no longer proceedings before it para 11.",about
"Simplify the phrase ""in the light of"" in the sentence: The first such issue is whether there was, in the light of sections 241c, power to make regulation 5 of SORs, insofar as that regulation imposes civil liability for the refusal to express a political opinion or to express a view on a matter of public policy contrary to the religious belief of the person refusing to express the view.",considering
"Simplify the phrase ""in the light of"" in the sentence: The second is whether, in the light of section 241a, there was power to make regulation 5 insofar as it imposes civil liability for the refusal to express a particular political opinion that is inconsistent with the religious belief of the person refusing to express that opinion.",considering
"Simplify the phrase ""in the light of"" in the sentence: The third issue touched on in para 70 above is whether article 28 of FETO is void, in the light of section 17 of the Northern Ireland Constitution Act 1973, insofar as article 28 imposes civil liability for the refusal to express a political opinion or to express a view on a matter of public policy contrary to the religious belief of the person refusing to express the view.",considering
"Simplify the phrase ""in the light of"" in the sentence: There is no incongruity in a conclusion that a reference can be required in the light of a judgment handed down, but not yet conclusively formalised.",considering
"Simplify the phrase ""as a result of"" in the sentence: The need for a reference may only have become obvious as a result of the way in which the judgment handed down has been expressed.",because
"Simplify the phrase ""in the context of"" in the sentence: A reference of similar nature is not unfamiliar in the context of the procedure for references by national courts to the Court of Justice of the European Union.",when
"Simplify the phrase ""in the light of"" in the sentence: So far as concerns article 28 of FETO, the finding of violation in the courts below can, in the light of my conclusions above, be resolved by an appeal.",considering
"Simplify the phrase ""for the purposes of"" in the sentence: The Commission had ruled against this claim on the ground that an Egyptian company, to which it had sold the sequestered property in 1957, was its successor in title for the purposes of a provision requiring any claimant and any successor in title of such claimant to be British.",for
"Simplify the phrase ""out of"" in the sentence: Acting in bad faith, making a decision which a tribunal had no power to make, failing to give effect to the requirements of natural justice, taking into account something required to be left out of account and refusing to take into account something required to be taken into account were in this context all mentioned as matters outside the scope of such a finality provision: see p 171CE per Lord Reid, pp 195BC and 198FG per Lord Pearce, p 210EF per Lord Wilberforce and p 215A per Lord Pearson agreeing with Lord Reid, Lord Pearce and Lord Wilberforce.",from
"Simplify the phrase ""in the course of"" in the sentence: Any error of law that could be shown to have been made by them in the course of reaching their decision on matters of fact or of administrative policy would result in their having asked themselves the wrong question with the result that the decision they reached would be a nullity.",while
"Simplify the phrase ""in the case of"" in the sentence: Whether it did or not and, in the case of inferior courts, what limits are imposed on the kinds of questions of law they are empowered to decide, depends upon the construction of the statute unencumbered by any such presumption.",in
"Simplify the phrase ""as to"" in the sentence: In the case of inferior courts where the decision of the court is made final and conclusive by the statute, this may involve the survival of those subtle distinctions formerly drawn between errors of law which go to jurisdiction and errors of law which do not that did so much to confuse English administrative law before Anisminic ; but upon any application for judicial review of a decision of an inferior court in a matter which involves, as so many do, interrelated questions of law, fact and degree the superior court conducting the review should not be astute to hold that Parliament did not intend the inferior court to have jurisdiction to decide for itself the meaning of ordinary words used in the statute to define the question which it has to decide.",about
"Simplify the phrase ""in the case of"" in the sentence: In the case of inferior courts where the decision of the court is made final and conclusive by the statute, this may involve the survival of those subtle distinctions formerly drawn between errors of law which go to jurisdiction and errors of law which do not that did so much to confuse English administrative law before Anisminic ; but upon any application for judicial review of a decision of an inferior court in a matter which involves, as so many do, interrelated questions of law, fact and degree the superior court conducting the review should not be astute to hold that Parliament did not intend the inferior court to have jurisdiction to decide for itself the meaning of ordinary words used in the statute to define the question which it has to decide.",in
"Simplify the phrase ""as in"" in the sentence: It would require much clearer words and they would, clearly, be unusual and surprising words to conclude that a focused provision like article 617 was intended to exclude a challenge to the fairness or regularity of the process by which the Court of Appeal had reached its decision on the point of law.",meaning
"Simplify the phrase ""in respect of"" in the sentence: Likewise, I consider that a failure to admit the Attorney Generals request for a reference and to await its disposition, before ruling on a case stated, constitutes a procedural error, in respect of which an appeal must still be possible, if significant injustice would otherwise follow, notwithstanding the finality provision in article 617. 89.",about
"Simplify the phrase ""in relation to"" in the sentence: They had, in relation to their appeal against the decision of the county court judge on the point of law stated, a direct interest in the content and outcome of the reference, and in its proper handling.",about
"Simplify the phrase ""in respect of"" in the sentence: An appeal is therefore competent to the Supreme Court against all aspects of the Court of Appeals judgment, including its decision in respect of sexual discrimination under SORs as well as its decision in respect of political opinion or religious belief under FETO.",about
"Simplify the phrase ""in respect of"" in the sentence: The appellants should be given permission to appeal accordingly in the light of the undoubted importance of the substantive issues; and, in the light of my conclusions on the substantive issues, the Supreme Court can and should allow the appeal in respect of both SORs and FETO.

--- UKSC_2016_-uk-cases-UKSC-2016-14 ---
6a8a8a9b1e0a44ee90948ab2aa5412b5 html United Kingdom Supreme Court 20160413 2017 AC 599 2016 2 WLR 1126 2016 UKSC 14 2016 2 WLR 1148 2016 WLRD 181 United Kingdom Supreme Court United Kingdom Supreme Court Lynn Shellfish Ltd Ors v Loose Anor rev 1 2016 UKSC 14 13 April 2016 2017 AC 599, 2016 2 WLR 1126, 2016 UKSC 14, 2016 2 WLR 1148, 2016 WLRD 181",about
"Simplify the phrase ""in the light of"" in the sentence: The appellants should be given permission to appeal accordingly in the light of the undoubted importance of the substantive issues; and, in the light of my conclusions on the substantive issues, the Supreme Court can and should allow the appeal in respect of both SORs and FETO.

--- UKSC_2016_-uk-cases-UKSC-2016-14 ---
6a8a8a9b1e0a44ee90948ab2aa5412b5 html United Kingdom Supreme Court 20160413 2017 AC 599 2016 2 WLR 1126 2016 UKSC 14 2016 2 WLR 1148 2016 WLRD 181 United Kingdom Supreme Court United Kingdom Supreme Court Lynn Shellfish Ltd Ors v Loose Anor rev 1 2016 UKSC 14 13 April 2016 2017 AC 599, 2016 2 WLR 1126, 2016 UKSC 14, 2016 2 WLR 1148, 2016 WLRD 181",considering
"Simplify the phrase ""out of"" in the sentence: The appellants are individuals and companies who operate fishing boats out of Kings Lynn in Norfolk.",from
"Simplify the phrase ""as a result of"" in the sentence: The attachment to the Foreshore of previously separated sandbanks appears to have occurred as a result of the gradual silting up of channels which had separated the sandbanks from the Foreshore.",because
"Simplify the phrase ""from time to time"" in the sentence: We refer to low watermarks in the plural because, of course, the extent of low water varies from time to time.",sometimes
"Simplify the phrase ""by way of"" in the sentence: However, it did not feature in argument as a separate relevant measurement, save by way of explanation of a line on a chart.",for
"Simplify the phrase ""as to"" in the sentence: As to the issue relating to sandbanks, the appellants contend that, unless the respondents can establish that the Estates prescriptive Right extended to a sandbank before it became attached to the Foreshore, the Right cannot extend to such a sandbank simply because it becomes attached to the Foreshore.",about
"Simplify the phrase ""from time to time"" in the sentence: The first is that the Right is a prescriptive right which applies to the Foreshore as it is constituted from time to time.",sometimes
"Simplify the phrase ""as to"" in the sentence: Other leases were less precise as to the boundary, some simply referring to the foreshore and another to the foreshore and so much of the seabed that belongs to the lessor.",about
"Simplify the phrase ""as in"" in the sentence: The Estate was involved in the drafting of the 1872 Order including the attached chart, which also established the Lynn Fisheries Committee.",meaning
"Simplify the phrase ""as in"" in the sentence: The 1872 Order was made under the Sea Fisheries Act 1868 31 32 Vict C45, which was enacted following a national review of fisheries, and was intended to bring some clarity to the existence and extent of coastal private fishing rights.",meaning
"Simplify the phrase ""for the purpose of"" in the sentence: The propositions which this case supports for the purpose of the instant proceedings are limited, but may be summarised as follows: i the Estate claimed its exclusive Right extended over Stubborn Sand but not over Ferrier Sand or other unconnected sandbanks, ii the decision effectively established the northern and southern boundaries of the Area the subject of the Right, and iii the proceedings illustrate how the Estate has taken steps to protect the Right over the Area.",for
"Simplify the phrase ""in the case of"" in the sentence: Some of the documents of title relating to each of the Manors included specific references to fisheries in the case of one of the Manors as long ago as the early 12th century and in the case of the other in the 16th century; and, while other documents of title did not specifically refer to fisheries, they included rights in general terms which could have extended to fisheries.",in
"Simplify the phrase ""on the part of"" in the sentence: Judge Moylan also referred to acts of ownership, possession and user supporting the existence of the Right, on the part of the Lords of the Manors going back to the early 17th century, including acts against third parties who were fishing on the Foreshore, leases granted of the fishing rights claimed, and records of expenditure on preserving those fishing rights.",for
"Simplify the phrase ""from time to time"" in the sentence: Judge Moylan went on to accept that, as the most successful mussel beds are found between mean low water and low water mean springs, the seaward boundary of the fishery is and always has been at least as far out as the line of low water mean springs wherever that may be from time to time, which is what the Estate had claimed.",sometimes
"Simplify the phrase ""as to"" in the sentence: The main issue on the appeal was whether the evidence of title relating to the two Manors was such as to undermine Judge Moylans conclusion.",about
"Simplify the phrase ""in the light of"" in the sentence: In the light of that evidence, one is entitled to ask oneself the question: is it really to be supposed that, when the Crown was granting to favoured subjects a valuable right such as a several fishery relating to shellfish , it was doing so by reference to an artificial line on a map",considering
"Simplify the phrase ""as in"" in the sentence: mean low water at ordinary tides , and doing so in order to deny to the favoured subjects the primary benefit that one would suppose was intended to be conferred on them, namely the benefit of exploiting the fishery where it could best be exploited?",meaning
"Simplify the phrase ""in relation to"" in the sentence: In relation to the formerly detached sandbanks, there was no suggestion by the respondents that the Estate had exercised an exclusive right to take shellfish over any of the sandbanks which, at least on the evidence currently available, had previously been separated from the Foreshore, with the sole exception of Stubborn Sand.",about
"Simplify the phrase ""in the case of"" in the sentence: It was also accepted that they had been available to members of the public for fishing as of right, and, at least in the case of some of those sandbanks, that members of the public had actually taken shellfish from them within living memory.",in
"Simplify the phrase ""from time to time"" in the sentence: In an instructive judgment, Sir William concluded that i mean spring low water marked the boundary of the Area, on pragmatic grounds but also following Loose v Castleton , and ii sandbanks, which were formally separated from the Foreshore, became part of the Area when they became joined to the Foreshore, on the alternative grounds that a the prescriptive right extended to the Foreshore as it was physically constituted from time to time, or b if the prescriptive right was limited to the foreshore in its original state, it nonetheless extended to previously separated sandbanks as they joined to the foreshore, pursuant to the doctrine of accretion 2013 EWHC 901 Ch .",sometimes
"Simplify the phrase ""as to"" in the sentence: As to the seaward boundary, the appellants contend that it should be as marked on the chart attached to the 1872 Order, or alternatively that it should be mean low water.",about
"Simplify the phrase ""as in"" in the sentence: Profits, like easements a different category of rights over land, which include rights of way, rights of light and rights of water, are recognised in common law and statute as legal rights known as incorporeal hereditaments.",meaning
